open,high,low,close
535.65,536.0,535.3,536.0
535.9,537.1,535.9,537.0
537.25,538.55,537.25,538.35
538.15,538.55,537.75,537.75
537.9,537.9,536.8,536.8
536.35,536.65,536.05,536.55
536.55,537.15,536.2,536.95
536.65,536.85,535.5,536.1
536.1,536.6,535.5,535.8
536.05,536.3,535.95,536.25
536.25,536.75,536.05,536.4
536.4,536.7,536.2,536.5
536.5,536.8,536.5,536.8
536.8,536.8,536.05,536.05
536.05,536.6,536.05,536.5
536.5,536.9,536.45,536.8
536.8,537.0,536.8,537.0
536.85,537.0,536.7,536.95
537.0,537.5,536.85,537.5
537.5,539.0,537.35,538.4
538.5,538.55,538.15,538.25
538.25,538.5,538.25,538.3
538.5,538.5,538.05,538.05
538.3,538.4,538.05,538.3
537.95,538.0,537.55,538.0
538.0,538.0,537.8,537.8
537.8,538.0,537.75,537.95
537.95,537.95,537.5,537.9
537.9,537.9,537.5,537.8
537.8,537.85,537.7,537.7
537.7,537.85,537.6,537.7
537.7,537.75,537.3,537.4
537.5,537.65,537.0,537.5
537.5,537.5,537.05,537.35
537.9,538.0,537.65,537.95
538.0,538.0,537.75,537.8
537.8,537.95,537.8,537.85
537.85,537.85,537.4,537.65
537.4,537.7,537.35,537.7
537.5,537.9,537.3,537.9
537.9,537.9,537.7,537.85
537.85,537.85,537.5,537.65
537.65,537.65,537.25,537.25
537.25,537.45,537.2,537.45
537.45,537.45,537.3,537.35
537.45,537.75,537.35,537.75
537.75,538.0,537.5,537.95
537.95,537.95,537.8,537.8
537.9,537.9,537.45,537.5
537.45,537.5,537.4,537.5
537.5,537.9,537.35,537.6
537.9,538.1,537.85,538.0
538.05,538.2,538.0,538.2
538.0,538.2,537.9,537.9
537.95,537.95,537.7,537.9
537.9,537.9,537.05,537.05
537.25,537.6,536.9,537.4
537.4,537.45,537.15,537.2
537.3,537.3,536.2,536.75
536.55,536.75,536.45,536.45
536.75,536.75,536.35,536.7
536.7,536.7,536.4,536.45
536.65,536.65,536.35,536.45
536.5,536.5,536.0,536.05
536.05,536.15,535.75,536.05
536.0,536.1,535.5,535.65
535.9,536.15,535.2,536.15
