open,high,low,close
654.5,654.5,654.15,654.15
654.5,654.7,654.0,654.0
654.4,654.5,654.0,654.2
654.6,654.6,654.15,654.5
654.5,654.5,654.15,654.5
654.4,654.5,654.15,654.45
654.7,654.7,654.05,654.05
654.0,654.2,653.6,653.8
653.8,653.8,653.6,653.65
653.65,653.95,653.5,653.65
654.15,654.15,653.65,653.65
653.5,653.75,653.5,653.7
653.55,653.55,653.5,653.5
653.5,654.4,653.1,654.4
654.4,654.4,653.45,653.85
653.85,654.6,653.45,654.45
654.1,654.45,654.0,654.45
654.45,654.9,654.4,654.75
654.65,654.65,654.3,654.5
654.5,654.5,654.2,654.4
654.4,654.4,654.0,654.35
654.35,654.35,653.45,653.5
653.7,654.5,653.7,654.45
654.15,654.7,654.15,654.5
654.4,654.5,654.1,654.15
654.15,656.0,654.0,655.95
655.9,656.4,655.5,656.4
656.4,656.65,656.1,656.55
656.5,657.3,655.85,655.85
656.25,656.6,655.75,656.45
656.45,656.5,656.2,656.4
656.4,656.6,656.15,656.6
656.6,656.9,656.4,656.9
656.9,657.0,656.65,656.9
656.65,656.9,656.1,656.7
656.7,656.8,656.2,656.25
656.2,656.4,655.95,656.1
655.85,656.1,655.3,655.3
655.05,656.25,655.05,656.25
656.25,656.6,656.1,656.6
656.6,658.8,656.5,658.45
658.65,659.5,658.65,659.5
659.15,659.5,658.1,658.8
658.95,659.0,658.8,659.0
659.0,659.15,658.5,658.5
658.4,658.4,656.9,656.9
656.9,658.0,656.6,657.7
658.0,658.35,657.65,658.2
658.25,658.3,657.85,658.0
658.0,658.8,658.0,658.55
658.6,658.75,658.25,658.55
658.6,659.3,658.6,659.3
659.4,660.0,659.2,659.85
659.45,661.0,659.45,660.5
660.5,660.5,659.0,659.4
659.4,659.45,658.9,659.05
659.2,660.0,659.0,659.95
659.7,660.0,659.35,659.95
659.95,659.95,659.25,659.25
659.55,659.55,657.1,657.3
657.0,658.55,657.0,658.55
658.15,658.75,658.0,658.35
658.25,658.55,658.0,658.25
658.5,658.65,658.2,658.45
658.45,658.65,658.45,658.65
658.65,659.0,658.5,658.95
658.65,658.95,658.5,658.85
658.85,658.85,658.05,658.5
658.5,658.5,657.7,658.15
657.75,658.0,657.5,657.65
657.65,657.75,657.3,657.45
657.45,657.85,657.45,657.85
657.6,657.95,657.55,657.95
657.95,658.0,657.65,657.8
657.75,658.0,657.5,657.7
657.65,657.9,657.5,657.5
657.8,658.0,657.5,657.55
657.55,657.8,657.5,657.8
657.8,657.9,657.5,657.75
657.75,657.75,657.4,657.4
657.45,657.5,657.0,657.05
657.05,657.25,657.0,657.0
657.0,657.1,656.35,656.45
656.45,656.5,655.25,655.7
655.25,655.8,655.2,655.5
655.5,656.5,655.45,656.05
656.4,656.6,656.0,656.55
656.6,656.6,656.4,656.4
656.4,656.6,656.4,656.5
656.5,656.6,656.4,656.5
656.0,656.0,655.05,655.15
655.1,655.15,654.35,654.5
654.3,654.5,654.05,654.3
654.05,654.75,654.05,654.75
654.5,655.0,654.5,654.95
654.95,655.0,654.5,654.9
654.6,654.9,654.0,654.0
654.0,654.1,653.4,653.55
653.55,654.15,653.55,654.1
654.3,654.45,654.1,654.2
654.5,654.5,653.9,654.0
654.0,654.4,654.0,654.3
654.05,654.2,653.7,653.8
653.8,654.1,653.7,654.0
654.1,654.45,653.75,654.45
654.3,654.45,654.1,654.2
654.1,654.45,654.1,654.45
654.45,655.1,654.4,655.0
655.0,656.05,655.0,656.05
656.05,656.15,655.65,655.65
655.55,655.55,654.8,655.05
655.05,655.3,654.9,655.05
655.35,655.45,655.05,655.45
655.35,656.0,655.35,655.65
655.7,655.75,655.3,655.3
655.3,655.4,655.0,655.2
655.2,655.2,655.0,655.2
655.2,655.2,654.35,654.35
