open,high,low,close
604.4,605.05,604.4,605.05
605.1,605.95,605.05,605.8
605.7,605.9,605.3,605.3
605.55,605.8,605.2,605.65
605.55,605.85,605.25,605.75
605.5,605.8,605.05,605.05
605.25,605.5,605.0,605.0
605.0,605.8,605.0,605.8
605.9,606.3,605.8,605.85
605.85,606.0,605.35,605.35
605.5,605.95,605.5,605.75
605.75,605.75,605.05,605.25
605.25,606.0,605.25,605.65
605.55,605.85,605.35,605.65
605.45,605.7,605.2,605.6
605.4,607.0,605.4,606.75
606.75,606.85,606.0,606.0
606.25,606.55,606.05,606.4
606.15,606.4,606.0,606.1
606.0,606.25,606.0,606.15
606.05,606.5,606.05,606.5
606.6,607.0,606.6,607.0
607.0,607.0,606.95,607.0
607.0,608.2,607.0,608.0
608.2,608.35,607.65,608.05
608.0,608.5,608.0,608.5
608.5,608.5,608.0,608.25
608.05,608.35,608.0,608.15
608.2,608.2,607.55,607.7
607.9,608.1,607.5,607.95
608.2,608.2,607.6,608.15
608.2,608.5,608.0,608.4
608.25,608.5,608.0,608.2
608.2,608.2,607.8,608.2
608.1,608.5,608.1,608.2
608.25,609.35,608.2,609.05
609.3,609.5,609.05,609.15
609.25,609.5,608.85,609.4
609.45,609.45,609.05,609.15
609.15,609.45,609.15,609.25
609.25,609.45,609.15,609.4
609.4,609.4,609.1,609.1
609.15,609.15,608.35,608.5
608.5,608.95,608.3,608.65
608.8,609.15,608.65,608.65
608.6,609.0,608.6,608.9
609.0,609.6,609.0,609.25
609.4,609.5,609.0,609.15
609.05,609.3,608.85,609.0
608.9,609.0,608.7,608.75
608.75,609.0,608.15,608.8
608.75,608.75,608.25,608.25
608.45,608.55,608.2,608.35
608.5,608.55,608.25,608.25
608.35,608.5,607.7,608.1
608.1,608.15,607.9,607.9
608.0,608.1,607.75,607.75
607.75,608.1,607.7,608.0
607.95,607.95,607.2,607.25
607.25,608.0,607.25,608.0
607.95,608.4,607.7,607.8
607.85,608.1,607.55,608.1
608.15,608.4,608.0,608.15
608.35,608.7,608.35,608.65
608.5,608.65,608.2,608.45
608.55,608.9,608.35,608.35
608.45,608.85,608.45,608.85
608.85,609.0,608.85,608.9
608.95,609.0,608.55,608.55
608.75,609.2,608.5,609.2
609.3,609.3,609.0,609.0
609.0,609.15,608.5,608.55
608.55,608.55,608.0,608.0
607.85,608.05,607.75,608.05
608.05,608.25,607.85,607.85
607.85,608.05,607.85,607.9
607.85,608.0,607.65,607.85
607.85,609.1,607.85,609.1
609.0,609.55,609.0,609.4
609.45,609.45,609.15,609.25
609.25,609.85,609.2,609.75
609.65,610.0,609.65,610.0
610.0,610.0,609.6,609.7
609.8,609.95,609.65,609.85
609.7,610.0,609.7,609.9
609.95,610.65,609.95,610.3
