open,high,low,close
502.0,502.3,501.95,502.3
502.25,502.25,501.8,502.0
502.0,502.5,501.8,502.5
502.4,502.85,502.05,502.2
502.0,502.2,501.75,501.95
502.1,502.45,501.8,502.45
502.25,502.75,502.25,502.4
502.4,502.4,500.95,501.0
501.05,501.15,500.5,500.8
500.75,500.85,500.05,500.05
500.25,500.7,500.0,500.4
500.5,501.15,499.65,499.65
499.95,499.95,499.25,499.25
499.25,499.6,499.05,499.45
499.45,499.45,498.95,499.1
498.95,499.05,498.0,498.7
498.5,498.6,498.25,498.4
498.3,498.4,496.8,497.15
496.6,496.8,495.85,496.25
496.25,497.0,496.05,497.0
497.0,497.5,496.85,497.35
497.25,497.5,496.6,497.5
497.35,497.45,497.0,497.0
497.2,497.2,496.65,496.85
496.85,497.45,496.5,497.45
497.45,497.75,496.85,497.75
497.7,498.1,497.7,498.0
498.0,498.55,497.9,497.9
497.95,497.95,497.1,497.1
497.15,497.15,496.5,496.9
496.9,496.9,496.6,496.6
496.8,497.0,496.5,496.5
496.5,497.0,496.4,497.0
497.0,497.0,496.0,496.1
496.1,496.55,496.1,496.45
496.5,496.9,496.35,496.9
496.9,497.15,496.75,496.75
496.95,497.0,496.7,496.85
496.7,497.0,496.7,497.0
497.0,497.2,496.7,496.85
496.85,497.2,496.7,497.2
497.2,497.2,496.6,496.8
496.85,496.85,496.55,496.6
496.55,496.55,496.25,496.4
496.2,496.65,496.2,496.55
496.2,496.35,496.0,496.05
496.05,496.15,495.8,496.05
495.95,496.0,495.95,496.0
496.0,496.4,495.85,496.15
496.25,496.25,495.95,496.0
495.9,496.25,495.85,496.15
496.15,496.15,495.85,495.9
495.9,496.2,495.85,496.05
496.2,496.2,495.25,495.3
495.3,495.4,495.05,495.25
495.3,495.95,495.15,495.95
496.0,496.0,495.8,495.9
495.9,495.9,495.45,495.75
495.5,495.75,495.35,495.6
495.6,496.8,495.6,496.05
496.05,496.1,495.3,495.55
495.4,496.45,495.4,495.95
496.15,496.15,495.35,495.5
495.45,496.15,495.45,496.0
496.15,496.15,495.5,495.85
495.8,496.1,495.4,496.1
496.1,496.5,496.0,496.0
496.0,496.85,496.0,496.85
496.7,497.2,496.7,497.2
497.4,497.65,497.2,497.5
497.65,498.25,497.65,498.25
498.25,498.25,497.35,497.8
497.65,497.85,497.45,497.8
497.8,498.1,497.65,497.9
498.05,498.2,497.7,498.1
498.1,498.85,498.1,498.55
498.85,499.0,498.6,498.8
498.95,499.5,498.8,499.3
499.3,499.6,499.0,499.0
498.8,499.25,498.8,499.25
499.15,499.6,499.15,499.55
499.75,499.8,499.05,499.2
499.2,499.2,498.75,499.0
499.0,499.3,498.8,498.85
498.85,499.15,498.75,498.95
498.95,498.95,498.2,498.25
498.35,498.85,498.05,498.8
498.85,498.95,498.6,498.95
499.05,499.5,499.0,499.5
499.5,499.8,499.4,499.8
499.8,500.0,499.7,500.0
500.0,500.65,499.8,500.45
500.25,500.5,500.1,500.5
500.5,500.5,499.9,500.0
500.0,500.4,500.0,500.4
500.25,501.0,500.25,500.95
500.95,501.25,500.85,501.25
501.25,501.4,501.05,501.35
501.4,501.8,501.3,501.8
501.55,501.55,501.0,501.25
501.25,501.4,501.05,501.3
501.3,501.3,501.1,501.3
501.3,501.4,501.15,501.4
501.35,501.4,501.2,501.25
501.3,501.3,501.2,501.2
501.25,501.5,501.2,501.4
501.5,501.75,501.4,501.75
501.5,501.55,500.95,500.95
500.95,500.95,500.5,500.75
500.55,500.85,500.35,500.65
500.65,500.95,500.45,500.95
501.25,501.25,501.0,501.05
501.0,501.2,500.9,501.0
501.0,501.75,500.95,501.75
501.75,501.75,501.15,501.25
501.4,501.4,501.2,501.35
501.35,501.4,501.2,501.35
501.35,501.4,500.9,500.9
500.9,501.4,500.8,501.2
501.2,501.2,500.85,501.0
501.15,501.15,500.95,500.95
500.95,500.95,500.6,500.85
500.9,501.0,500.65,500.65
500.85,500.9,500.55,500.65
500.5,500.7,500.4,500.6
500.7,501.15,500.7,501.15
501.15,501.15,500.9,500.9
501.0,501.0,500.8,500.85
501.0,501.0,500.8,501.0
500.8,500.95,500.6,500.7
500.7,500.7,500.5,500.6
500.5,501.0,500.5,501.0
501.0,501.2,500.65,500.8
500.95,500.95,500.75,500.8
500.7,500.9,500.7,500.85
500.8,500.95,500.25,500.35
500.4,500.45,500.0,500.05
500.2,500.2,499.45,499.65
499.65,499.65,499.0,499.2
498.95,499.5,498.95,499.5
499.5,499.9,499.5,499.85
499.85,499.85,499.5,499.6
499.6,499.8,499.55,499.65
499.6,499.8,499.6,499.6
499.6,499.7,499.0,499.0
499.0,499.55,498.95,499.55
499.45,499.6,499.05,499.05
499.05,499.75,499.05,499.75
499.75,500.5,499.75,500.35
500.35,500.5,500.05,500.25
500.25,500.4,500.0,500.0
500.0,500.5,500.0,500.5
500.5,500.75,500.5,500.5
500.5,500.55,500.15,500.2
500.4,500.6,500.2,500.6
500.6,500.6,500.4,500.5
500.5,500.6,500.1,500.3
500.4,500.6,500.3,500.6
500.45,500.65,500.4,500.6
500.6,500.6,500.3,500.35
500.35,500.35,500.3,500.35
500.3,500.6,500.3,500.55
500.5,500.55,500.5,500.55
500.5,500.55,500.35,500.4
500.4,500.4,500.0,500.25
500.25,500.4,500.2,500.4
500.4,500.4,500.25,500.25
500.25,500.4,500.0,500.1
500.0,500.5,500.0,500.4
500.5,500.65,500.5,500.65
500.6,500.75,500.6,500.75
500.75,500.95,500.7,500.95
500.9,500.9,500.6,500.7
500.7,500.7,500.5,500.55
500.5,500.55,500.15,500.4
500.4,500.4,500.3,500.35
500.35,500.6,500.3,500.5
500.5,500.5,500.3,500.4
500.4,500.7,500.35,500.55
500.7,501.0,500.7,501.0
501.0,501.0,500.85,500.95
501.0,501.0,500.7,500.8
500.8,500.8,500.55,500.55
500.6,500.75,500.55,500.6
500.6,500.75,500.6,500.6
500.6,500.7,500.6,500.7
500.7,500.7,500.55,500.6
500.6,500.6,500.35,500.55
500.55,500.7,500.35,500.7
500.7,500.7,500.35,500.5
500.5,500.5,500.0,500.25
500.0,500.45,500.0,500.4
500.3,500.7,500.3,500.7
500.65,500.9,500.5,500.9
501.0,501.1,500.7,500.9
500.75,500.95,500.75,500.85
500.7,500.75,500.3,500.45
500.4,500.4,500.25,500.3
500.3,500.35,500.25,500.35
500.35,500.4,500.05,500.05
500.15,500.15,499.8,499.85
499.8,499.8,499.4,499.45
499.45,499.7,499.4,499.7
499.6,499.8,499.6,499.8
499.95,499.95,499.5,499.6
499.55,499.85,499.5,499.6
499.8,499.8,499.5,499.6
499.6,499.7,499.6,499.7
499.65,499.65,499.6,499.65
499.65,499.65,499.5,499.55
499.55,499.55,499.5,499.55
499.55,499.55,499.25,499.4
499.4,499.4,499.3,499.4
499.35,499.6,499.2,499.6
499.65,500.0,499.65,499.9
499.8,499.8,499.75,499.8
499.8,499.95,499.75,499.95
499.95,500.05,499.85,500.05
500.05,500.1,500.0,500.05
500.1,500.3,500.05,500.2
500.2,500.4,500.2,500.3
500.35,500.35,500.3,500.3
500.35,500.35,500.05,500.2
500.2,500.4,500.15,500.35
500.35,500.45,500.3,500.45
500.45,500.45,500.3,500.4
500.4,500.4,500.15,500.35
500.2,500.35,500.2,500.3
500.3,500.3,500.15,500.3
500.3,500.3,500.05,500.2
500.2,500.2,500.0,500.1
500.1,500.1,499.9,500.05
500.0,500.5,499.95,500.5
500.5,500.5,500.4,500.5
500.5,500.5,500.45,500.45
500.45,500.45,500.0,500.15
500.0,500.35,500.0,500.3
500.3,500.45,500.1,500.2
500.3,500.3,500.0,500.1
500.1,500.2,500.05,500.05
500.2,500.2,500.0,500.0
499.9,500.15,499.9,499.9
499.9,499.95,499.7,499.7
499.7,499.85,499.7,499.85
499.85,499.85,499.7,499.75
499.75,499.75,499.4,499.4
499.6,499.6,499.15,499.4
499.4,499.6,499.4,499.6
499.45,499.6,499.45,499.5
499.6,499.95,499.5,499.95
499.95,499.95,499.75,499.8
499.9,499.9,499.75,499.8
499.8,499.8,499.75,499.8
499.8,499.8,499.4,499.4
499.4,499.75,499.3,499.75
499.55,500.4,499.55,500.35
500.35,500.4,500.0,500.05
500.05,500.1,499.8,499.95
