open,high,low,close
539.5,539.6,539.35,539.6
539.6,539.7,539.15,539.25
539.5,540.0,539.3,540.0
539.8,539.95,538.7,539.2
539.25,540.0,539.25,539.95
539.95,540.4,539.85,540.25
540.0,540.1,539.5,539.75
539.6,539.9,539.5,539.9
539.95,540.5,539.95,540.25
540.25,540.35,540.0,540.15
540.15,540.65,540.1,540.65
540.4,541.4,540.4,541.1
541.05,541.35,541.0,541.25
541.2,541.35,541.05,541.35
541.25,541.35,541.05,541.3
541.3,541.45,541.0,541.0
541.15,541.2,541.05,541.05
541.05,541.3,540.75,541.05
541.1,541.15,540.75,541.0
541.15,541.15,540.95,541.1
541.05,541.1,540.85,540.95
541.0,541.1,540.65,541.0
540.8,541.1,540.75,541.05
541.0,541.0,540.65,540.9
540.85,541.0,540.8,540.85
540.9,540.95,540.85,540.9
540.85,541.15,540.8,541.15
541.15,541.8,541.0,541.3
541.3,541.65,541.05,541.65
541.4,541.85,541.4,541.8
541.75,542.0,541.6,541.9
541.95,542.25,541.95,542.25
542.3,542.5,542.05,542.5
542.4,542.75,542.3,542.6
542.75,542.9,542.6,542.8
542.9,543.25,542.75,543.05
543.0,543.4,543.0,543.35
543.2,543.4,542.85,543.0
543.1,543.3,542.65,542.95
542.95,543.2,542.95,543.0
542.95,543.2,542.85,543.1
543.05,543.05,542.6,542.65
542.65,543.05,542.65,543.0
543.0,543.25,542.85,543.0
543.0,543.45,543.0,543.45
543.35,543.7,543.25,543.4
543.4,543.6,543.2,543.55
543.4,543.75,543.4,543.5
543.5,543.7,543.2,543.4
543.45,543.45,542.55,542.75
542.6,542.95,542.3,542.85
542.85,543.0,542.7,542.85
542.85,542.9,542.7,542.9
542.8,542.95,542.65,542.65
542.7,542.7,542.2,542.4
542.4,542.5,542.05,542.35
542.25,542.35,542.0,542.1
542.15,542.15,542.0,542.1
542.1,542.7,542.0,542.55
542.7,542.75,542.05,542.05
542.0,542.0,541.25,541.6
541.65,541.65,541.25,541.4
541.35,541.45,541.0,541.15
541.2,541.2,541.0,541.1
541.1,541.65,541.0,541.35
541.35,541.7,541.3,541.55
541.5,541.5,541.25,541.35
541.3,541.3,541.1,541.2
541.2,541.25,541.1,541.2
541.1,541.5,541.1,541.5
541.45,541.55,541.2,541.4
541.35,541.45,541.25,541.4
541.4,541.55,541.1,541.35
541.1,541.1,540.25,540.4
540.35,541.25,540.15,541.25
541.0,541.5,540.95,541.2
