time,type,current,reward,risk,close
11,Long,120.75,121.75,120.25,119.9
28,Long,119.48,120.48,118.98,120.49
52,Long,122.82,123.82,122.32,122.21
60,Long,122.38,123.38,121.88,123.81
84,Long,124.51,125.51,124.01,123.67
115,Long,122.87,123.87,122.37,123.9
153,Long,123.0,124.0,122.5,122.39
159,Long,123.24,124.24,122.74,122.39
172,Long,122.76,123.76,122.26,123.98
198,Long,123.35,124.35,122.85,122.62
219,Long,123.46,124.46,122.96,122.72
228,Long,123.57,124.57,123.07,123.01
236,Long,123.92,124.92,123.42,123.08
255,Long,123.24,124.24,122.74,122.73
276,Long,122.8,123.8,122.3,123.84
297,Long,123.67,124.67,123.17,123.15
307,Long,123.78,124.78,123.28,123.15
310,Long,123.45,124.45,122.95,122.79
338,Long,120.79,121.79,120.29,119.92
355,Long,119.73,120.73,119.23,119.13
370,Long,119.16,120.16,118.66,118.61
401,Long,117.73,118.73,117.23,117.04
413,Long,116.55,117.55,116.05,115.43
427,Long,116.58,117.58,116.08,117.81
438,Long,116.99,117.99,116.49,118.21
459,Long,117.7,118.7,117.2,116.52
468,Long,118.25,119.25,117.75,116.52
478,Long,116.23,117.23,115.73,115.54
490,Long,116.03,117.03,115.53,117.04
513,Long,116.76,117.76,116.26,116.05
523,Long,116.71,117.71,116.21,117.72
557,Long,117.09,118.09,116.59,116.55
573,Long,117.07,118.07,116.57,116.42
586,Long,117.3,118.3,116.8,116.59
598,Long,117.05,118.05,116.55,0
